VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
YV4H60DN4P,Snohomish,Snohomish,WA,98296,2023,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,1,286660965,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,53061052122
1C4JJXP60M,Yakima,Naches,WA,98937,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,14,154905880,POINT (-120.69972 46.7309),PACIFICORP,53077003003
JTDACACU2S,Walla Walla,Walla Walla,WA,99362,2025,TOYOTA,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,16,283180131,POINT (-118.34261 46.07068),PACIFICORP,53071920702
1N4AZ1CPXJ,Snohomish,Lynnwood,WA,98087,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,21,341657417,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061051804
KMHM54AC0R,Walla Walla,College Place,WA,99324,2024,HYUNDAI,IONIQ 6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,16,262612871,POINT (-118.38864 46.03456),PACIFICORP,53071920302
1N4BZ0CP9G,Kitsap,Port Orchard,WA,98366,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,26,121314525,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,53035092704
5YJ3E1EB3J,Snohomish,Bothell,WA,98012,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,44,287870572,POINT (-122.20105 47.84423),PUGET SOUND ENERGY INC,53061052007
1N4AZ1CP5J,Snohomish,Edmonds,WA,98026,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,21,211373382,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050200
5YJ3E1EA9K,Snohomish,Edmonds,WA,98026,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,32,211126814,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050800
5YJ3E1EB4J,King,Seattle,WA,98104,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,43,475347855,POINT (-122.32945 47.60357),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008102
YV4ED3UMXP,Kitsap,Port Orchard,WA,98367,2023,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,26,285992787,POINT (-122.68471 47.50524),PUGET SOUND ENERGY INC,53035092802
YV4ED3GB7N,Kitsap,Bremerton,WA,98310,2022,VOLVO,C40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,23,204890073,POINT (-122.61136 47.5752),PUGET SOUND ENERGY INC,53035080200
5YJSA1E2XL,Snohomish,Edmonds,WA,98026,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,330,21,104505740,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061042005
